Squad,# Pl,Age,MP,Min,Gls,Assists,G+A,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Expected_Goals,Non_Penalty_xG,Expected_Assists,npxG+xAG,YEAR
Arsenal,28,26.7,38,3420,69,52,121,65,4,5,60.1,56,46.7,102.7,2018
Bournemouth,28,26.6,38,3420,55,43,98,48,7,9,53.3,46.2,38.8,85,2018
Brighton,21,27.4,38,3420,35,24,59,30,5,6,35.3,30.7,24.5,55.2,2018
Burnley,23,28,38,3420,43,32,75,41,2,2,44.4,42.8,31.2,74,2018
Cardiff City,25,27.7,38,3420,33,20,53,30,3,4,42.4,39.2,27.6,66.8,2018
Chelsea,24,27.3,38,3420,61,52,113,56,5,5,58.6,54.6,44.9,99.6,2018
Crystal Palace,26,27.4,38,3420,48,33,81,38,10,11,47.6,39.2,29.5,68.7,2018
Everton,23,25.7,38,3420,53,34,87,51,2,5,49.7,45.7,33.7,79.4,2018
Fulham,28,26,38,3420,33,24,57,31,2,3,41.3,39,30,69,2018
Huddersfield,31,26.2,38,3420,21,13,34,20,1,1,28.8,28,19.9,47.9,2018
Leicester City,25,25.9,38,3420,48,34,82,43,5,7,52.4,47.3,37.6,84.9,2018
Liverpool,23,26.1,38,3420,86,55,141,79,7,7,73.7,68.4,49.8,118.2,2018
Manchester City,21,26.7,38,3420,91,71,162,88,3,4,84.3,81.3,65.5,146.7,2018
Manchester Utd,28,26.3,38,3420,65,40,105,56,9,12,61.4,52,39.6,91.6,2018
Newcastle Utd,24,26.9,38,3420,41,33,74,40,1,3,39.1,36.7,27.4,64.1,2018
Southampton,30,25.4,38,3420,44,27,71,40,4,5,46.9,43.4,29.3,72.7,2018
Tottenham,28,26.8,38,3420,66,47,113,62,4,4,54.9,51.8,39.1,90.9,2018
Watford,25,28.5,38,3420,51,39,90,50,1,1,48.2,47.5,34.8,82.3,2018
West Ham,26,27.6,38,3420,51,33,84,46,5,5,47.6,43.8,34.1,77.9,2018
Wolves,21,26.1,38,3420,46,35,81,42,4,4,52.1,49,39.4,88.4,2018
Arsenal,29,25.8,38,3420,56,35,91,53,3,3,47,44.6,31.4,76.1,2019
Aston Villa,28,25.7,38,3420,40,32,72,39,1,3,44.3,41.8,34.2,76,2019
Bournemouth,27,25.2,38,3420,38,24,62,34,4,4,44.8,41.7,30.6,72.3,2019
Brighton,25,26.4,38,3420,35,24,59,34,1,2,45.4,43.8,31.6,75.4,2019
Burnley,22,28,38,3420,41,30,71,38,3,3,47.4,45.3,32.4,77.7,2019
Chelsea,27,25.5,38,3420,69,46,115,62,7,7,69.2,64.4,46.7,111.1,2019
Crystal Palace,25,29.4,38,3420,29,20,49,26,3,3,35.8,33.6,26,59.5,2019
Everton,24,25.5,38,3420,42,32,74,41,1,1,50.8,50,38.1,88.1,2019
Leicester City,24,26.1,38,3420,65,48,113,60,5,7,62.2,56.7,44.9,101.6,2019
Liverpool,24,26.6,38,3420,83,69,152,78,5,5,68.9,65,53,118,2019
Manchester City,24,26.9,38,3420,100,69,169,94,6,11,92,83.6,68.4,152,2019
Manchester Utd,29,24.8,38,3420,65,43,108,55,10,14,62.2,51.2,38.5,89.7,2019
